,Vehicle_ID,Frame_ID,Tot_Frames,Epoch_ms,Local_X,Local_Y,Global_X,Global_Y,Veh_Len,Veh_Wid,Veh_Class,Veh_Velocity,Vehicle_Acc,Lane_ID,Org_Zone,Dest_Zone,Intersection,Section,Direction,Movement,Preceding_Veh,Following_Veh,Spacing,Headway
0,2,29,1707,1163033200,8.695,235.155,2230541.536,1375765.856,14.0,7.0,2,16.59,-5.03,0,102,214,1,0,2,3,0,0,0.0,0.0
402,2,431,1707,1163073400,12.267999999999999,648.384,2230581.554,1376176.7340000002,14.0,7.0,2,19.8,4.63,0,102,214,2,0,2,1,0,0,0.0,0.0
922,2,951,1707,1163125400,25.554000000000002,1186.312,2230831.431,1376642.285,14.0,7.0,2,9.34,-0.49,0,102,214,3,0,2,1,0,0,0.0,0.0
1042,2,1071,1707,1163137400,27.019000000000002,1588.22,2230861.328,1377049.3769999999,14.0,7.0,2,37.95,12.27,0,102,214,4,0,2,1,0,0,0.0,0.0
1629,2,1658,1707,1163196100,26.76,1969.251,2230831.683,1377432.36,14.0,7.0,2,6.55,11.85,0,102,214,5,0,2,1,0,0,0.0,0.0
3696,15,287,1713,1163059000,9.9,140.77700000000002,2230526.1040000003,1375672.3480000002,18.0,7.0,2,19.98,-9.24,0,101,214,1,0,2,1,0,0,0.0,0.0
3920,15,511,1713,1163081400,3.69,649.096,2230573.1780000003,1376178.688,18.0,7.0,2,25.71,-3.69,0,101,214,2,0,2,1,0,0,0.0,0.0
4434,15,1025,1713,1163132800,16.08,1184.964,2230822.182,1376644.727,18.0,7.0,2,22.33,2.36,0,101,214,3,0,2,1,0,0,0.0,0.0
4556,15,1147,1713,1163145000,18.89,1588.9160000000002,2230853.169,1377050.001,18.0,7.0,2,32.15,10.02,0,101,214,4,0,2,1,0,0,0.0,0.0
5122,15,1713,1713,1163201600,16.14,1975.723,2230820.241,1377437.4880000001,18.0,7.0,2,15.09,0.0,0,101,214,5,0,2,1,0,0,0.0,0.0
